trace,size_kb,block,assoc,policy,hit_rate,miss_rate,cpi,unused_kb,unused_pct,cost,page_faults,compulsory,conflict
A-9_new_trunk1.trc,1024,64,4,RR,98.4993,1.5007,5.04,917.72,87.40,73.50,0,2064,0
A-9_new_trunk1.trc,1024,64,4,RND,98.4993,1.5007,5.04,917.72,87.40,73.50,0,2064,0
A-9_new_trunk2.trc,8,8,4,RR,87.5568,12.4432,5.31,0.00,0.00,0.74,0,1024,18515
A-9_new_trunk2.trc,8,8,4,RND,87.6982,12.3018,5.29,0.00,0.00,0.74,0,1024,18293
A-9_new_trunk2.trc,8,16,4,RR,91.2582,8.7418,5.73,0.00,0.00,0.65,0,512,12168
A-9_new_trunk2.trc,8,16,4,RND,91.2017,8.7983,5.74,0.00,0.00,0.65,0,512,12250
A-9_new_trunk2.trc,8,64,4,RR,94.7622,5.2378,8.35,0.00,0.00,0.58,0,128,7075
A-9_new_trunk2.trc,8,64,4,RND,94.7076,5.2924,8.40,0.00,0.00,0.58,0,128,7150
A-9_new_trunk2.trc,64,8,4,RR,94.1678,5.8322,4.56,10.76,13.28,5.67,0,7104,2054
A-9_new_trunk2.trc,64,8,4,RND,93.9908,6.0092,4.58,10.76,13.28,5.67,0,7104,2332
A-9_new_trunk2.trc,64,16,4,RR,96.2220,3.7780,4.62,5.56,7.67,5.08,0,3782,1698
A-9_new_trunk2.trc,64,16,4,RND,96.0090,3.9910,4.67,5.56,7.67,5.08,0,3782,2007
A-9_new_trunk2.trc,64,64,4,RR,98.1704,1.8296,5.33,0.58,0.88,4.63,0,1015,1501
A-9_new_trunk2.trc,64,64,4,RND,97.9974,2.0026,5.48,0.58,0.88,4.63,0,1015,1739
A-9_new_trunk2.trc,256,8,4,RR,94.3245,5.6755,4.54,230.38,72.91,22.12,0,8878,34
A-9_new_trunk2.trc,256,8,4,RND,94.3232,5.6768,4.54,230.38,72.91,22.12,0,8878,36
A-9_new_trunk2.trc,256,16,4,RR,96.3985,3.6015,4.58,195.61,68.40,20.02,0,5178,46
A-9_new_trunk2.trc,256,16,4,RND,96.3943,3.6057,4.58,195.61,68.40,20.02,0,5178,52
A-9_new_trunk2.trc,256,64,4,RR,98.4889,1.5111,5.05,135.80,51.54,18.45,0,1985,93
A-9_new_trunk2.trc,256,64,4,RND,98.4751,1.5249,5.06,135.80,51.54,18.45,0,1985,112
A-9_new_trunk2.trc,1024,8,4,RR,94.3277,5.6723,4.54,1148.28,93.20,86.24,0,8907,0
A-9_new_trunk2.trc,1024,8,4,RND,94.3277,5.6723,4.54,1148.28,93.20,86.24,0,8907,0
A-9_new_trunk2.trc,1024,16,4,RR,96.4026,3.5974,4.58,1038.19,92.04,78.96,0,5218,0
A-9_new_trunk2.trc,1024,16,4,RND,96.4026,3.5974,4.58,1038.19,92.04,78.96,0,5218,0
A-9_new_trunk2.trc,1024,64,4,RR,98.5006,1.4994,5.03,917.85,87.41,73.50,0,2062,0
A-9_new_trunk2.trc,1024,64,4,RND,98.5006,1.4994,5.03,917.85,87.41,73.50,0,2062,0
A-10_new_1.5_a.pdf.trc,8,8,4,RR,91.6837,8.3163,4.83,0.00,0.00,0.74,0,1024,33256
A-10_new_1.5_a.pdf.trc,8,8,4,RND,91.5537,8.4463,4.84,0.00,0.00,0.74,0,1024,33792
A-10_new_1.5_a.pdf.trc,8,16,4,RR,93.9490,6.0510,5.08,0.00,0.00,0.65,0,512,22256
A-10_new_1.5_a.pdf.trc,8,16,4,RND,93.8110,6.1890,5.11,0.00,0.00,0.65,0,512,22775
A-10_new_1.5_a.pdf.trc,8,64,4,RR,96.1597,3.8403,6.97,0.00,0.00,0.58,0,128,13463
A-10_new_1.5_a.pdf.trc,8,64,4,RND,96.0257,3.9743,7.09,0.00,0.00,0.58,0,128,13937
A-10_new_1.5_a.pdf.trc,64,8,4,RR,96.2780,3.7220,4.32,2.20,2.71,5.67,0,7970,7372
A-10_new_1.5_a.pdf.trc,64,8,4,RND,96.0791,3.9209,4.34,2.20,2.71,5.67,0,7970,8192
A-10_new_1.5_a.pdf.trc,64,16,4,RR,97.5307,2.4693,4.31,0.89,1.22,5.08,0,4046,5245
